pixel,reflectance1,reflectance2,absorption1,absorption2
1,2.53E-05,2.23E-07,,
2,2.43E-05,2.20E-07,,
3,2.33E-05,2.43E-07,,
4,2.23E-05,2.15E-07,,
5,2.12E-05,2.39E-07,,
6,2.03E-05,2.85E-07,,
7,1.93E-05,2.76E-07,,
8,1.84E-05,2.72E-07,,
9,1.74E-05,2.39E-07,,
10,1.66E-05,2.84E-07,,
11,1.59E-05,3.08E-07,,
12,1.50E-05,2.85E-07,,
13,1.43E-05,3.13E-07,,
14,1.35E-05,3.31E-07,,
15,1.30E-05,3.56E-07,,
16,1.22E-05,3.71E-07,,
17,1.16E-05,3.59E-07,,
18,1.11E-05,4.28E-07,,
19,1.06E-05,3.93E-07,,
20,1.00E-05,3.89E-07,,
21,9.59E-06,4.08E-07,,
22,9.08E-06,4.93E-07,,
23,8.61E-06,4.70E-07,,
24,8.21E-06,4.91E-07,,
25,7.80E-06,4.93E-07,,
26,7.50E-06,5.22E-07,,
27,7.07E-06,5.27E-07,,
28,6.73E-06,5.54E-07,,
29,6.46E-06,5.68E-07,,
30,6.13E-06,5.95E-07,,
31,5.87E-06,6.22E-07,,
32,5.58E-06,6.42E-07,,
33,5.31E-06,6.67E-07,,
34,5.05E-06,6.79E-07,,
35,4.88E-06,7.37E-07,,
36,4.60E-06,7.10E-07,,
37,4.43E-06,7.85E-07,,
38,4.22E-06,7.79E-07,,
39,4.11E-06,8.41E-07,,
40,3.85E-06,8.46E-07,,
41,3.66E-06,8.41E-07,,
42,3.47E-06,9.04E-07,,
43,3.28E-06,9.52E-07,,
44,3.17E-06,9.65E-07,,
45,3.05E-06,1.02E-06,,
46,2.92E-06,1.06E-06,,
47,2.76E-06,1.07E-06,,
48,2.64E-06,1.14E-06,,
49,2.58E-06,1.18E-06,,
50,2.42E-06,1.16E-06,,
51,2.34E-06,1.25E-06,,
52,2.26E-06,1.29E-06,,
53,2.16E-06,1.38E-06,,
54,2.06E-06,1.43E-06,,
55,1.99E-06,1.50E-06,,
56,1.91E-06,1.51E-06,,
57,1.81E-06,1.60E-06,,
58,1.77E-06,1.67E-06,,
59,1.68E-06,1.74E-06,,
60,1.63E-06,1.79E-06,,
61,1.57E-06,1.84E-06,,
62,1.49E-06,1.94E-06,,
63,1.45E-06,2.06E-06,,
64,1.37E-06,2.12E-06,,
65,1.33E-06,2.18E-06,,
66,1.28E-06,2.28E-06,,
67,1.22E-06,2.32E-06,,
68,1.18E-06,2.47E-06,,
69,1.12E-06,2.58E-06,,
70,1.08E-06,2.67E-06,,
71,9.98E-07,2.72E-06,,
72,9.84E-07,2.86E-06,,
73,9.81E-07,3.03E-06,,
74,9.36E-07,3.14E-06,,
75,8.76E-07,3.25E-06,,
76,8.37E-07,3.43E-06,,
77,8.19E-07,3.56E-06,,
78,8.02E-07,3.77E-06,,
79,7.48E-07,3.87E-06,,
80,7.07E-07,4.04E-06,,
81,7.17E-07,4.22E-06,,
82,6.68E-07,4.38E-06,,
83,6.68E-07,4.59E-06,,
84,6.34E-07,4.85E-06,,
85,5.89E-07,5.06E-06,,
86,5.84E-07,5.29E-06,,
87,5.51E-07,5.52E-06,,
88,5.51E-07,5.77E-06,,
89,5.35E-07,6.07E-06,,
90,5.27E-07,6.34E-06,,
91,4.89E-07,6.57E-06,,
92,4.74E-07,6.93E-06,,
93,4.56E-07,7.31E-06,,
94,4.07E-07,7.52E-06,,
95,4.17E-07,7.91E-06,,
96,4.10E-07,8.25E-06,,
97,3.93E-07,8.62E-06,,
98,3.56E-07,9.07E-06,,
99,3.99E-07,9.61E-06,,
100,3.59E-07,9.97E-06,,
101,3.56E-07,1.03E-05,,
102,3.26E-07,1.07E-05,,
103,3.32E-07,1.14E-05,,
104,2.91E-07,1.19E-05,,
105,3.01E-07,1.24E-05,,
106,2.71E-07,1.29E-05,,
107,2.72E-07,1.37E-05,,
108,2.44E-07,1.43E-05,,
109,2.56E-07,1.50E-05,,
110,2.56E-07,1.57E-05,,
111,2.50E-07,1.65E-05,,
112,2.46E-07,1.72E-05,,
113,2.49E-07,1.79E-05,,
114,2.09E-07,1.89E-05,,
115,2.05E-07,1.98E-05,,
116,2.11E-07,2.08E-05,,
117,1.99E-07,2.18E-05,,
118,1.84E-07,2.28E-05,,
119,2.07E-07,2.38E-05,,
120,1.82E-07,2.50E-05,,
121,1.74E-07,2.61E-05,,
122,1.53E-07,2.75E-05,,
123,1.60E-07,2.88E-05,,
124,1.67E-07,3.00E-05,,
125,1.69E-07,3.12E-05,,
126,1.51E-07,3.26E-05,,
127,1.44E-07,3.40E-05,,
128,1.75E-07,3.54E-05,,
