pixel,reflectance1,reflectance2,absorption1,absorption2,side,mm
1,4.73E-05,9.38E-07,0.113048824,0.288300193,1,patient 21
2,4.55E-05,9.37E-07,0.113048824,0.435014481,1,
3,4.40E-05,9.53E-07,0.113048824,0.47651286,1,
4,4.24E-05,1.02E-06,0.113048824,0.259814675,1,
5,4.10E-05,1.01E-06,0.113048824,0.408862157,1,
6,3.94E-05,9.86E-07,0.113048824,0.709303245,1,
7,3.80E-05,1.06E-06,0.113048824,0.449598903,1,
8,3.66E-05,9.86E-07,0.113048824,1,1,
9,3.53E-05,1.05E-06,0.113048824,0.793749214,1,
10,3.40E-05,1.11E-06,0.113048824,0.606226726,1,
11,3.28E-05,1.12E-06,0.113048824,0.72014036,1,
12,3.15E-05,1.21E-06,0.113048824,0.382139532,1,
13,3.02E-05,1.22E-06,0.113048824,0.515632834,1,
14,2.93E-05,1.26E-06,0.113048824,0.462443703,1,
15,2.82E-05,1.27E-06,0.113048824,0.568236115,1,
16,2.72E-05,1.33E-06,0.113048824,0.449308066,1,
17,2.62E-05,1.42E-06,0.113048824,0.186357795,1,
18,2.53E-05,1.42E-06,0.113048824,0.37586241,1,
19,2.43E-05,1.40E-06,0.113048824,0.603807999,1,
20,2.36E-05,1.50E-06,0.113048824,0.35241717,1,
21,2.27E-05,1.49E-06,0.113048824,0.54561167,1,
22,2.19E-05,1.43E-06,0.113048824,0.973191911,1,
23,2.11E-05,1.59E-06,0.113048824,0.458126043,1,
24,2.03E-05,1.66E-06,0.113048824,0.36782306,1,
25,1.97E-05,1.65E-06,0.113048824,0.545140167,1,
26,1.90E-05,1.69E-06,0.113048824,0.55644348,1,
27,1.83E-05,1.72E-06,0.113048824,0.639002532,1,
28,1.78E-05,1.81E-06,0.113048824,0.474127626,1,
29,1.72E-05,1.93E-06,0.113048824,0.219140168,1,
30,1.65E-05,1.94E-06,0.113048824,0.379258314,1,
31,1.61E-05,2.01E-06,0.113048824,0.318238409,1,
32,1.54E-05,2.06E-06,0.113048824,0.327961079,1,
33,1.49E-05,2.10E-06,0.113048824,0.357880987,1,
34,1.46E-05,2.16E-06,0.113048824,0.346147481,1,
35,1.39E-05,2.19E-06,0.113048824,0.450002409,1,
36,1.36E-05,2.27E-06,0.113048824,0.383343759,1,
37,1.30E-05,2.31E-06,0.113048824,0.454617583,1,
38,1.29E-05,2.52E-06,0.113048824,0.044001326,1,
39,1.22E-05,2.49E-06,0.113048824,0.309999361,1,
40,1.18E-05,2.56E-06,0.113048824,0.313235086,1,
41,1.15E-05,2.63E-06,0.113048824,0.317571422,1,
42,1.10E-05,2.75E-06,0.113048824,0.175040501,1,
43,1.07E-05,2.69E-06,0.113048824,0.534146711,1,
44,1.04E-05,2.87E-06,0.113048824,0.268832114,1,
45,1.00E-05,2.97E-06,0.113048824,0.216476762,1,
46,9.69E-06,3.07E-06,0.113048824,0.180234285,1,
47,9.40E-06,3.10E-06,0.113048824,0.30363877,1,
48,9.11E-06,3.09E-06,0.113048824,0.53424254,1,
49,8.83E-06,3.35E-06,0.113048824,0.148587244,1,
50,8.53E-06,3.40E-06,0.113048824,0.254259748,1,
51,8.30E-06,3.49E-06,0.113048824,0.25752076,1,
52,8.05E-06,3.59E-06,0.113048824,0.256835908,1,
53,7.77E-06,3.75E-06,0.113048824,0.149269707,1,
54,7.50E-06,3.81E-06,0.113048824,0.235673825,1,
55,7.26E-06,3.92E-06,0.113048824,0.251874291,1,
56,7.03E-06,4.08E-06,0.113048824,0.164543463,1,
57,6.89E-06,4.16E-06,0.113048824,0.234940382,1,
58,6.65E-06,4.31E-06,0.185445344,0.183486988,1,
59,6.40E-06,4.44E-06,0.296943587,0.164977665,1,
60,6.20E-06,4.62E-06,0.288628834,0.089171166,1,
61,6.06E-06,4.68E-06,0.149168127,0.219280145,1,
62,5.92E-06,4.87E-06,0.019952285,0.1242629,1,
63,5.67E-06,4.97E-06,0.216547193,0.190944997,1,
64,5.58E-06,5.18E-06,0,0.097720959,1,
65,5.35E-06,5.32E-06,0.177271384,0.126244723,1,
66,5.17E-06,5.50E-06,0.22112872,0.096729096,1,
67,4.96E-06,5.63E-06,0.392196096,0.147394362,1,
68,4.81E-06,5.81E-06,0.411548489,0.137237181,1,
69,4.70E-06,5.99E-06,0.274841752,0.133602158,1,
70,4.52E-06,6.24E-06,0.406341659,0.029473084,1,
71,4.40E-06,6.32E-06,0.364925244,0.190497883,1,
72,4.35E-06,6.65E-06,0.104051501,0,1,
73,4.19E-06,6.80E-06,0.20764681,0.075728445,1,
74,4.08E-06,7.03E-06,0.179420921,0.051589876,1,
75,3.93E-06,7.14E-06,0.287754982,0.184872673,1,
76,3.77E-06,7.47E-06,0.440865825,0.058000521,1,
77,3.69E-06,7.68E-06,0.320693311,0.086985704,1,
78,3.57E-06,8.00E-06,0.389820798,0.005059002,1,
79,3.45E-06,8.20E-06,0.447046326,0.06267965,1,
80,3.42E-06,8.49E-06,0.170027291,0.032052643,1,
81,3.30E-06,8.75E-06,0.241048834,0.032052643,1,
82,3.15E-06,9.01E-06,0.49593846,0.032052643,1,
83,3.07E-06,9.26E-06,0.438272597,0.032052643,1,
84,3.03E-06,9.63E-06,0.250275875,0.032052643,1,
85,2.89E-06,9.78E-06,0.507366147,0.032052643,1,
86,2.78E-06,1.01E-05,0.631108037,0.032052643,1,
87,2.75E-06,1.05E-05,0.380907039,0.032052643,1,
88,2.65E-06,1.09E-05,0.479236437,0.032052643,1,
89,2.59E-06,1.14E-05,0.419131931,0.032052643,1,
90,2.49E-06,1.17E-05,0.581212409,0.032052643,1,
91,2.41E-06,1.20E-05,0.608766827,0.032052643,1,
92,2.36E-06,1.25E-05,0.526263334,0.032052643,1,
93,2.27E-06,1.27E-05,0.689926083,0.032052643,1,
94,2.24E-06,1.32E-05,0.477067164,0.032052643,1,
95,2.15E-06,1.38E-05,0.617569952,0.032052643,1,
96,2.10E-06,1.42E-05,0.569581781,0.032052643,1,
97,2.08E-06,1.48E-05,0.356103321,0.032052643,1,
98,1.98E-06,1.52E-05,0.605744282,0.032052643,1,
99,1.91E-06,1.56E-05,0.747293201,0.032052643,1,
100,1.87E-06,1.61E-05,0.652509048,0.032052643,1,
101,1.78E-06,1.67E-05,0.889252275,0.032052643,1,
102,1.78E-06,1.73E-05,0.581889421,0.032052643,1,
103,1.70E-06,1.78E-05,0.779077052,0.032052643,1,
104,1.65E-06,1.85E-05,0.834657321,0.032052643,1,
105,1.62E-06,1.91E-05,0.713092776,0.032052643,1,
106,1.59E-06,1.99E-05,0.639100663,0.032052643,1,
107,1.55E-06,2.06E-05,0.596401832,0.032052643,1,
108,1.48E-06,2.15E-05,0.787024414,0.032052643,1,
109,1.45E-06,2.20E-05,0.70044459,0.032052643,1,
110,1.43E-06,2.29E-05,0.548846773,0.032052643,1,
111,1.40E-06,2.36E-05,0.513312387,0.032052643,1,
112,1.31E-06,2.46E-05,1,0.032052643,1,
113,1.28E-06,2.54E-05,0.890726697,0.032052643,1,
114,1.24E-06,2.63E-05,0.946056046,0.032052643,1,
115,1.23E-06,2.72E-05,0.798043723,0.032052643,1,
116,1.22E-06,2.84E-05,0.602704598,0.032052643,1,
117,1.16E-06,2.93E-05,0.795276923,0.032052643,1,
118,1.15E-06,3.04E-05,0.616678941,0.032052643,1,
119,1.12E-06,3.15E-05,0.652917369,0.032052643,1,
120,1.08E-06,3.28E-05,0.691279044,0.032052643,1,
121,1.10E-06,3.41E-05,0.229342686,0.032052643,1,
122,1.02E-06,3.54E-05,0.824801245,0.032052643,1,
123,9.91E-07,3.65E-05,0.808624485,0.032052643,1,
124,1.00E-06,3.78E-05,0.42452043,0.032052643,1,
125,9.64E-07,3.92E-05,0.547980043,0.032052643,1,
126,9.48E-07,4.06E-05,0.450588096,0.032052643,1,
127,9.20E-07,4.22E-05,0.494787267,0.032052643,1,
128,0,4.22E-05,0.494787267,0.032052643,1,
