pixel,reflectance1,reflectance2,absorption1,absorption2,side,mm
1,2.62E-05,1.48E-07,0.080280177,0.460785509,2,patient 12
2,2.52E-05,1.55E-07,0.080280177,0.41008894,2,
3,2.41E-05,1.53E-07,0.080280177,0.583120655,2,
4,2.31E-05,1.66E-07,0.080280177,0.412465943,2,
5,2.21E-05,1.59E-07,0.080280177,0.679900102,2,
6,2.12E-05,1.73E-07,0.080280177,0.50987468,2,
7,2.02E-05,1.68E-07,0.080280177,0.733254595,2,
8,1.94E-05,1.71E-07,0.080280177,0.794994501,2,
9,1.85E-05,1.73E-07,0.080280177,0.878917496,2,
10,1.76E-05,2.12E-07,0.080280177,0.295944884,2,
11,1.68E-05,2.02E-07,0.080280177,0.600374865,2,
12,1.61E-05,2.26E-07,0.080280177,0.316537107,2,
13,1.54E-05,2.33E-07,0.080280177,0.340350727,2,
14,1.46E-05,2.11E-07,0.078652406,0.817736778,2,
15,1.39E-05,2.59E-07,0.077256298,0.210440893,2,
16,1.33E-05,2.48E-07,0.07323814,0.497129681,2,
17,1.26E-05,2.45E-07,0.080272695,0.672361646,2,
18,1.21E-05,2.64E-07,0.062692755,0.52836834,2,
19,1.15E-05,2.67E-07,0.073012211,0.618897133,2,
20,1.10E-05,2.55E-07,0.064146375,0.917737293,2,
21,1.05E-05,2.80E-07,0.078267886,0.703257,2,
22,9.93E-06,2.86E-07,0.101429778,0.773021841,2,
23,9.54E-06,3.05E-07,0.073899352,0.66594191,2,
24,9.05E-06,2.96E-07,0.101291448,0.919267321,2,
25,8.62E-06,3.31E-07,0.113078818,0.623719323,2,
26,8.21E-06,3.58E-07,0.129175954,0.460708444,2,
27,7.83E-06,3.31E-07,0.133977942,0.906522761,2,
28,7.49E-06,3.92E-07,0.131739721,0.398627146,2,
29,7.12E-06,3.58E-07,0.154971555,0.893833899,2,
30,6.81E-06,3.83E-07,0.150263305,0.77778752,2,
31,6.49E-06,3.99E-07,0.165279561,0.761326901,2,
32,6.16E-06,4.23E-07,0.199396448,0.674740586,2,
33,5.89E-06,4.23E-07,0.1957963,0.818822107,2,
34,5.70E-06,4.50E-07,0.14907519,0.722928127,2,
35,5.40E-06,4.49E-07,0.194543077,0.883677069,2,
36,5.17E-06,4.87E-07,0.190138172,0.70311903,2,
37,4.99E-06,4.70E-07,0.160102953,1,2,
38,4.75E-06,5.24E-07,0.179563868,0.708376377,2,
39,4.60E-06,5.43E-07,0.139265728,0.715779732,2,
40,4.39E-06,5.76E-07,0.147905542,0.628659476,2,
41,4.20E-06,5.96E-07,0.157092402,0.646151269,2,
