pixel,reflectance1,reflectance2,absorption1,absorption2,side
1,5.57E-05,5.96E-07,0.091428045,0.870004278,2
2,5.36E-05,6.55E-07,0.091428045,0.361322084,2
3,5.15E-05,6.59E-07,0.091428045,0.532085758,2
4,4.97E-05,6.77E-07,0.091428045,0.534608796,2
5,4.79E-05,6.93E-07,0.091428045,0.576465257,2
6,4.59E-05,7.35E-07,0.091428045,0.334741512,2
7,4.42E-05,7.60E-07,0.063232889,0.290585371,2
8,4.24E-05,7.64E-07,0.062244467,0.466185521,2
9,4.08E-05,7.63E-07,0.050470487,0.705752378,2
10,3.90E-05,7.75E-07,0.069240834,0.802385031,2
11,3.76E-05,8.05E-07,0.048021226,0.723782731,2
12,3.61E-05,8.04E-07,0.046431149,0.969308406,2
13,3.47E-05,9.03E-07,0.033757356,0.252866374,2
14,3.34E-05,8.96E-07,0.02972222,0.551574622,2
15,3.20E-05,9.30E-07,0.053177754,0.474288766,2
16,3.09E-05,9.72E-07,0.03121162,0.34511903,2
17,2.95E-05,9.94E-07,0.066317684,0.395507614,2
18,2.84E-05,1.01E-06,0.060474437,0.530421205,2
19,2.73E-05,1.03E-06,0.066082072,0.577883715,2
20,2.64E-05,1.01E-06,0.046573506,1,2
21,2.52E-05,1.08E-06,0.091067079,0.677626679,2
22,2.44E-05,1.14E-06,0.076781205,0.45990548,2
23,2.34E-05,1.17E-06,0.095496785,0.500573786,2
24,2.26E-05,1.18E-06,0.072394653,0.665660533,2
25,2.17E-05,1.23E-06,0.107347541,0.563230713,2
26,2.10E-05,1.28E-06,0.08813189,0.428940469,2
27,2.02E-05,1.31E-06,0.089929128,0.531491828,2
28,1.95E-05,1.32E-06,0.084357244,0.687928365,2
29,1.89E-05,1.41E-06,0.053842032,0.388017702,2
30,1.82E-05,1.39E-06,0.077899988,0.766025616,2
31,1.76E-05,1.48E-06,0.066507697,0.446522137,2
32,1.70E-05,1.50E-06,0.065615246,0.612724153,2
33,1.64E-05,1.56E-06,0.068585509,0.559079781,2
34,1.59E-05,1.61E-06,0.039871463,0.504138047,2
35,1.53E-05,1.64E-06,0.066074322,0.613283709,2
36,1.49E-05,1.72E-06,0.027980771,0.436144789,2
37,1.43E-05,1.74E-06,0.069026186,0.606079165,2
38,1.40E-05,1.83E-06,0.021667056,0.447244365,2
39,1.34E-05,1.87E-06,0.045429319,0.503240974,2
40,1.30E-05,1.97E-06,0.045800954,0.301751962,2
41,1.26E-05,2.00E-06,0.022032025,0.442991942,2
42,1.22E-05,2.08E-06,0.038699633,0.391149848,2
43,1.18E-05,2.16E-06,0.025368928,0.318101507,2
44,1.15E-05,2.19E-06,0.003866455,0.467806662,2
45,1.11E-05,2.27E-06,0.014291489,0.421512648,2
46,1.07E-05,2.35E-06,0.035718174,0.390620936,2
47,1.03E-05,2.40E-06,0.050102992,0.478463183,2
48,1.00E-05,2.48E-06,0.03408194,0.455622156,2
49,9.69E-06,2.54E-06,0.037852467,0.538218328,2
50,9.44E-06,2.64E-06,0.015976504,0.429671992,2
51,9.11E-06,2.70E-06,0.029728042,0.543845078,2
52,8.90E-06,2.81E-06,0,0.439556268,2
53,8.57E-06,2.88E-06,0.023905553,0.53234676,2
54,8.23E-06,3.00E-06,0.057827291,0.423989217,2
55,8.04E-06,3.15E-06,0.028858618,0.23840707,2
56,7.79E-06,3.20E-06,0.032088691,0.397236897,2
57,7.46E-06,3.32E-06,0.077168463,0.348176914,2
58,7.30E-06,3.44E-06,0.042161736,0.322608905,2
59,7.08E-06,3.57E-06,0.039650921,0.240291072,2
60,6.84E-06,3.67E-06,0.053325735,0.308159123,2
61,6.71E-06,3.82E-06,0.014990244,0.224090929,2
62,6.35E-06,3.91E-06,0.105123441,0.309171954,2
63,6.29E-06,4.08E-06,0.031442828,0.182545744,2
64,6.06E-06,4.22E-06,0.054265388,0.182132002,2
65,5.84E-06,4.39E-06,0.079149337,0.104346207,2
66,5.63E-06,4.50E-06,0.103214164,0.191510812,2
67,5.53E-06,4.68E-06,0.060543077,0.12496629,2
68,5.35E-06,4.84E-06,0.071919188,0.098530306,2
69,5.22E-06,5.02E-06,0.059858109,0.057773604,2
70,5.03E-06,5.18E-06,0.08669883,0.080155141,2
71,4.87E-06,5.37E-06,0.096452641,0.046623395,2
72,4.68E-06,5.56E-06,0.127099121,0.037178395,2
73,4.55E-06,5.73E-06,0.125311505,0.072491311,2
74,4.37E-06,5.92E-06,0.162054416,0.073793388,2
75,4.26E-06,6.12E-06,0.14955602,0.082773206,2
76,4.04E-06,6.36E-06,0.224102764,0.027171261,2
77,3.99E-06,6.60E-06,0.17623717,0,2
78,3.80E-06,6.75E-06,0.237462585,0.131724051,2
79,3.74E-06,7.02E-06,0.191998312,0.06653485,2
80,3.56E-06,7.29E-06,0.26197279,0.027924626,2
81,3.51E-06,7.54E-06,0.210601576,0.037348815,2
82,3.37E-06,7.72E-06,0.255228297,0.18683554,2
83,3.25E-06,8.06E-06,0.275286476,0.07807071,2
84,3.08E-06,8.33E-06,0.354245908,0.102715914,2
85,3.04E-06,8.63E-06,0.309438238,0.10178185,2
86,2.92E-06,8.92E-06,0.335383617,0.131814368,2
87,2.82E-06,9.19E-06,0.362497522,0.21452867,2
88,2.68E-06,9.57E-06,0.427798417,0.154164606,2
89,2.60E-06,9.97E-06,0.433819939,0.084740192,2
90,2.52E-06,1.03E-05,0.439516772,0.182422867,2
91,2.38E-06,1.06E-05,0.516878253,0.228892032,2
92,2.34E-06,1.11E-05,0.489576292,0.145853473,2
93,2.26E-06,1.14E-05,0.507504128,0.243037648,2
94,2.20E-06,1.18E-05,0.510617374,0.238545878,2
95,2.08E-06,1.22E-05,0.585740468,0.321852372,2
96,2.06E-06,1.27E-05,0.531312666,0.289958735,2
97,1.97E-06,1.31E-05,0.574591148,0.343322523,2
98,1.91E-06,1.37E-05,0.584597007,0.301700675,2
99,1.86E-06,1.41E-05,0.583555955,0.400836289,2
100,1.74E-06,1.47E-05,0.692328736,0.401050033,2
101,1.72E-06,1.52E-05,0.644536244,0.41635708,2
102,1.64E-06,1.59E-05,0.704511782,0.383858661,2
103,1.58E-06,1.64E-05,0.721003794,0.461627736,2
104,1.55E-06,1.70E-05,0.694961571,0.509682897,2
105,1.46E-06,1.78E-05,0.777366981,0.476758442,2
106,1.47E-06,1.85E-05,0.68547835,0.432998963,2
107,1.38E-06,1.92E-05,0.786522755,0.462126737,2
108,1.37E-06,2.01E-05,0.737628201,0.401277099,2
109,1.31E-06,2.09E-05,0.785134059,0.397121975,2
110,1.30E-06,2.19E-05,0.71601672,0.310674261,2
111,1.24E-06,2.27E-05,0.776973219,0.395728469,2
112,1.17E-06,2.39E-05,0.862916895,0.259385303,2
113,1.13E-06,2.48E-05,0.867997529,0.296742799,2
114,1.10E-06,2.59E-05,0.879779895,0.302080447,2
115,1.07E-06,2.70E-05,0.876515033,0.280631414,2
116,1.02E-06,2.83E-05,0.909319685,0.169535619,2
117,9.94E-07,2.97E-05,0.915464762,0.127217725,2
118,9.73E-07,3.09E-05,0.902385098,0.127217725,2
119,9.55E-07,3.23E-05,0.881117411,0.127217725,2
120,9.41E-07,3.36E-05,0.851292355,0.127217725,2
121,8.96E-07,3.51E-05,0.902712663,0.127217725,2
122,8.38E-07,3.65E-05,1,0.127217725,2
123,8.37E-07,3.81E-05,0.937348986,0.127217725,2
124,8.01E-07,3.97E-05,0.977200753,0.127217725,2
125,7.73E-07,4.13E-05,0.99535462,0.127217725,2
126,7.73E-07,4.30E-05,0.93143995,0.127217725,2
127,7.32E-07,4.49E-05,0.93143995,0.127217725,2
128,0,4.49E-05,0.93143995,0.127217725,2
,,,,,
