pixel,reflectance1,reflectance2,absorption1,absorption2,side,
1,5.47E-05,5.50E-07,0.031293184,0.124396043,1,
2,5.29E-05,5.70E-07,0.031293184,0.09609402,1,
3,5.11E-05,5.80E-07,0.031293184,0.121786931,1,
4,4.95E-05,6.14E-07,0.031293184,0.04012462,1,
5,4.77E-05,6.06E-07,0.031293184,0.148169009,1,
6,4.61E-05,6.49E-07,0.031293184,0.034536799,1,
7,4.45E-05,6.57E-07,0.031293184,0.070833099,1,
8,4.30E-05,6.58E-07,0.031293184,0.140992008,1,
9,4.13E-05,6.89E-07,0.031293184,0.088676933,1,
10,4.00E-05,6.91E-07,0.031293184,0.151616634,1,
11,3.85E-05,7.01E-07,0.031293184,0.187977858,1,
12,3.72E-05,7.58E-07,0.031293184,0.045755263,1,
13,3.58E-05,7.63E-07,0.031293184,0.101199807,1,
14,3.46E-05,7.89E-07,0.031293184,0.082554273,1,
15,3.33E-05,8.02E-07,0.031293184,0.113532624,1,
16,3.21E-05,7.95E-07,0.031293184,0.213476981,1,
17,3.11E-05,8.46E-07,0.031293184,0.115516057,1,
18,3.00E-05,8.80E-07,0.031293184,0.082109777,1,
19,2.89E-05,9.00E-07,0.031293184,0.093485978,1,
20,2.79E-05,9.21E-07,0.031293184,0.106727312,1,
21,2.71E-05,9.36E-07,0.031293184,0.138387352,1,
22,2.61E-05,9.72E-07,0.031293184,0.111124683,1,
23,2.52E-05,1.00E-06,0.031293184,0.103311565,1,
24,2.44E-05,1.01E-06,0.031293184,0.174543004,1,
25,2.35E-05,1.06E-06,0.031293184,0.088327092,1,
26,2.28E-05,1.07E-06,0.031293184,0.140416412,1,
27,2.18E-05,1.10E-06,0.031293184,0.164095324,1,
28,2.13E-05,1.15E-06,0.031293184,0.092356045,1,
29,2.05E-05,1.18E-06,0.031293184,0.109607117,1,
30,1.98E-05,1.20E-06,0.031293184,0.145177413,1,
31,1.92E-05,1.25E-06,0.031293184,0.113910417,1,
32,1.86E-05,1.27E-06,0.031293184,0.150516394,1,
33,1.80E-05,1.31E-06,0.031293184,0.144813926,1,
