pixel,reflectance1,reflectance2,absorption1,absorption2,side,mm
1,0.000105625,1.54E-06,0.54219746,1,0,phantom left
2,0.000101539,1.76E-06,0.54219746,0.677224258,0,
3,9.80E-05,1.75E-06,0.54219746,0.771234016,0,
4,9.43E-05,1.91E-06,0.54219746,0.589425909,0,
5,9.06E-05,1.92E-06,0.54219746,0.659713648,0,
6,8.70E-05,1.91E-06,0.54219746,0.759538095,0,
7,8.35E-05,2.05E-06,0.54219746,0.623603723,0,
8,8.02E-05,2.03E-06,0.54219746,0.75096413,0,
9,7.68E-05,2.14E-06,0.54219746,0.664977031,0,
10,7.37E-05,2.25E-06,0.54219746,0.595640039,0,
11,7.08E-05,2.23E-06,0.54219746,0.709192486,0,
12,6.78E-05,2.29E-06,0.54219746,0.719500277,0,
13,6.49E-05,2.32E-06,0.545776148,0.768706054,0,
14,6.22E-05,2.48E-06,0.535107338,0.641044406,0,
15,5.97E-05,2.60E-06,0.52839946,0.573682575,0,
16,5.71E-05,2.72E-06,0.535652479,0.523804943,0,
17,5.50E-05,2.75E-06,0.511069612,0.573377665,0,
18,5.26E-05,2.80E-06,0.523485591,0.603309175,0,
19,5.05E-05,3.13E-06,0.522707989,0.332846346,0,
20,4.83E-05,3.03E-06,0.53619629,0.5352981,0,
21,4.65E-05,3.02E-06,0.516641404,0.640400676,0,
22,4.44E-05,3.26E-06,0.541622037,0.478982172,0,
23,4.25E-05,3.34E-06,0.551475298,0.490129527,0,
24,4.08E-05,3.31E-06,0.553013931,0.614829437,0,
25,3.91E-05,3.68E-06,0.567013248,0.344277771,0,
26,3.74E-05,3.71E-06,0.584223808,0.417498531,0,
27,3.60E-05,3.89E-06,0.574883636,0.349074817,0,
28,3.43E-05,3.90E-06,0.612315239,0.440921446,0,
29,3.31E-05,4.03E-06,0.590745607,0.429211974,0,
30,3.17E-05,4.31E-06,0.610472285,0.28748521,0,
31,3.01E-05,4.53E-06,0.652286686,0.213090456,0,
32,2.89E-05,4.60E-06,0.665754015,0.262129244,0,
33,2.75E-05,4.62E-06,0.702830624,0.349613531,0,
34,2.64E-05,4.90E-06,0.707386664,0.233743357,0,
35,2.55E-05,5.17E-06,0.702499655,0.141884351,0,
36,2.43E-05,5.25E-06,0.729050268,0.193419965,0,
37,2.33E-05,5.37E-06,0.739228548,0.213979813,0,
38,2.24E-05,5.43E-06,0.753377956,0.28139095,0,
39,2.19E-05,6.02E-06,0.694308674,0,0,
40,2.03E-05,5.86E-06,0.828799739,0.211963693,0,
41,1.96E-05,6.07E-06,0.820565434,0.18963223,0,
42,1.88E-05,6.41E-06,0.8419228,0.090006856,0,
43,1.79E-05,6.46E-06,0.872488073,0.176026555,0,
44,1.73E-05,6.68E-06,0.860060269,0.156084958,0,
45,1.65E-05,6.94E-06,0.891251521,0.125732459,0,
46,1.58E-05,7.07E-06,0.915898206,0.163981296,0,
47,1.54E-05,7.33E-06,0.890995212,0.138788862,0,
48,1.46E-05,7.71E-06,0.930688955,0.055589845,0,
49,1.41E-05,7.82E-06,0.928055466,0.116749415,0,
50,1.35E-05,8.11E-06,0.951833513,0.089345459,0,
51,1.29E-05,8.48E-06,0.976381133,0.030231362,0,
52,1.25E-05,8.66E-06,0.968287598,0.066769461,0,
53,1.21E-05,8.82E-06,0.964567629,0.111512371,0,
54,1.16E-05,9.21E-06,0.971679308,0.059148068,0,
55,1.12E-05,9.48E-06,0.972893085,0.0642696,0,
56,1.09E-05,9.82E-06,0.959295686,0.044104795,0,
57,1.05E-05,1.01E-05,0.955239725,0.05138942,0,
58,1.00E-05,1.04E-05,0.982453137,0.068722085,0,
59,9.65E-06,1.06E-05,0.990000028,0.088511223,0,
60,9.29E-06,1.09E-05,1,0.116625783,0,
61,9.02E-06,1.14E-05,0.982213274,0.073723439,0,
62,8.74E-06,1.18E-05,0.973122895,0.053114539,0,
63,8.44E-06,1.22E-05,0.972605141,0.027399098,0,
64,8.24E-06,1.26E-05,0.939253918,0.033805796,0,
65,7.94E-06,1.28E-05,0.945816626,0.099469275,0,
66,7.73E-06,1.33E-05,0.926004613,0.05996023,0,
67,7.37E-06,1.38E-05,0.960968131,0.052931255,0,
68,7.16E-06,1.40E-05,0.946672525,0.044032095,0,
69,6.90E-06,1.43E-05,0.954905125,0.044032095,0,
70,6.70E-06,1.49E-05,0.942701423,0.044032095,0,
71,6.52E-06,1.54E-05,0.921357768,0.044032095,0,
72,6.35E-06,1.62E-05,0.901781266,0.044032095,0,
73,6.07E-06,1.64E-05,0.936398082,0.044032095,0,
74,6.00E-06,1.68E-05,0.875169828,0.044032095,0,
75,5.74E-06,1.75E-05,0.903322266,0.044032095,0,
76,5.63E-06,1.77E-05,0.867289355,0.044032095,0,
77,5.46E-06,1.87E-05,0.858923251,0.044032095,0,
78,5.38E-06,1.92E-05,0.812896297,0.044032095,0,
79,5.17E-06,1.97E-05,0.831687818,0.044032095,0,
80,5.02E-06,2.04E-05,0.819525504,0.044032095,0,
81,4.89E-06,2.09E-05,0.807972121,0.044032095,0,
82,4.72E-06,2.18E-05,0.813376526,0.044032095,0,
83,4.67E-06,2.23E-05,0.75811474,0.044032095,0,
84,4.62E-06,2.31E-05,0.702155849,0.044032095,0,
85,4.47E-06,2.40E-05,0.707832165,0.044032095,0,
86,4.25E-06,2.45E-05,0.752003804,0.044032095,0,
87,4.18E-06,2.54E-05,0.716100688,0.044032095,0,
88,4.09E-06,2.63E-05,0.686985723,0.044032095,0,
89,4.00E-06,2.73E-05,0.669241089,0.044032095,0,
90,3.87E-06,2.83E-05,0.673491662,0.044032095,0,
91,3.84E-06,2.91E-05,0.613552116,0.044032095,0,
92,3.72E-06,3.01E-05,0.616007633,0.044032095,0,
93,3.66E-06,3.11E-05,0.580151107,0.044032095,0,
94,3.55E-06,3.21E-05,0.582204388,0.044032095,0,
95,3.47E-06,3.32E-05,0.557671914,0.044032095,0,
96,3.41E-06,3.43E-05,0.530935163,0.044032095,0,
97,3.29E-06,3.56E-05,0.540594955,0.044032095,0,
98,3.26E-06,3.73E-05,0.492962089,0.044032095,0,
99,3.24E-06,3.86E-05,0.436165846,0.044032095,0,
100,3.05E-06,3.97E-05,0.504925517,0.044032095,0,
101,3.03E-06,4.10E-05,0.451252255,0.044032095,0,
102,2.96E-06,4.22E-05,0.438908633,0.044032095,0,
103,2.95E-06,4.37E-05,0.381599159,0.044032095,0,
104,2.90E-06,4.55E-05,0.348322914,0.044032095,0,
105,2.75E-06,4.70E-05,0.400590274,0.044032095,0,
106,2.68E-06,4.88E-05,0.394964712,0.044032095,0,
107,2.69E-06,5.07E-05,0.318938083,0.044032095,0,
108,2.64E-06,5.24E-05,0.297724685,0.044032095,0,
109,2.57E-06,5.42E-05,0.298706768,0.044032095,0,
110,2.51E-06,5.64E-05,0.283306206,0.044032095,0,
111,2.50E-06,5.87E-05,0.227656523,0.044032095,0,
112,2.43E-06,6.04E-05,0.226724274,0.044032095,0,
113,2.38E-06,6.28E-05,0.211752113,0.044032095,0,
114,2.31E-06,6.48E-05,0.219137434,0.044032095,0,
115,2.25E-06,6.71E-05,0.2154369,0.044032095,0,
116,2.16E-06,6.99E-05,0.240809404,0.044032095,0,
117,2.13E-06,7.23E-05,0.207952621,0.044032095,0,
118,2.07E-06,7.47E-05,0.207599535,0.044032095,0,
119,2.19E-06,7.77E-05,0.033308129,0.044032095,0,
120,2.03E-06,8.07E-05,0.130222662,0.044032095,0,
121,1.97E-06,8.31E-05,0.142562823,0.044032095,0,
122,1.94E-06,8.64E-05,0.112303868,0.044032095,0,
123,1.92E-06,8.97E-05,0.073493154,0.044032095,0,
124,1.87E-06,9.30E-05,0.072998895,0.044032095,0,
125,1.85E-06,9.64E-05,0.037530276,0.044032095,0,
126,1.81E-06,9.98E-05,0.025869161,0.044032095,0,
127,1.72E-06,0.000103338,0.073424755,0.044032095,0,
128,1.74E-06,0.00010723,0,0.044032095,0,
